,nCounts,nFeatures
BC0514_N01,19600,7663
BC0515_N01,23032,8377
BC0516_N01,21955,8243
BC0517_N04,54174,9968
BC0519_N02,39725,9387
BC0520_N02,34579,9267
BC0522_N01,21257,8066
BC0523_N04,58179,9808
BC0524_N01,21401,7913
BC0525_N01,18674,7426
BC0526_N01,21584,8059
BC0528_N02,39919,9409
BC0529_N04,69667,10917
BC0530_N01,19939,7584
BC0531_N01,19108,7909
BC0532_N03,36976,9171
BC0533_N02,35683,9282
BC0534_N02,34056,8819
BC0535_N01,22673,8417
BC0536_N02,39731,9612
BC0537_N04,56619,12482
BC0540_N01,20713,7864
BC0541_N01,20999,8289
BC0543_N02,32541,8214
BC0544_N01,20234,7625
BC0545_N04,67069,10958
BC0546_N03,49592,9148
BC0547_N01,19843,7809
BC0548_N01,20778,8000
BC0549_N02,34778,9968
BC0550_N01,18706,7415
BC0554_N03,52653,11012
BC0555_N01,18735,7432
BC0556_N03,45495,9534
BC0557_N03,39955,9074
BC0558_N01,21411,8017
BC0559_N02,31548,8162
BC0560_N01,20537,8080
BC0561_N01,22191,8430
BC0562_N02,38116,9516
BC0563_N01,21286,8232
BC0564_N03,53190,9884
BC0565_N01,19157,7594
BC0566_N02,38934,9402
BC0567_N01,19996,7734
BC0568_N01,19527,7499
BC0569_N01,21522,7936
BC0570_N01,21102,8065
BC0571_N02,33748,8454
BC0572_N01,19188,7441
BC0573_N02,37505,9478
BC0574_N02,39439,9164
BC0575_N02,41418,10218
BC0578_N01,19812,7469
BC0580_N01,19006,7778
BC0581_N02,32576,8890
BC0584_N04,55057,9910
BC0585_N01,21504,7969
BC0587_N02,37583,9676
BC0588_N03,24142,7754
BC0589_N02,35946,8805
BC0590_N03,47856,9729
BC0592_N03,42746,9771
BC0593_N01,20194,7719
BC0594_N04,62074,10585
BC0595_N01,19705,7529
BC0598_N02,38169,8943
BC0599_N01,18698,7306
BC0600_N02,23642,8239
BC0602_N01,20255,7715
BC0604_N02,33670,8433
BC0605_N03,36937,9477
BC0606_N02,35650,9653
BC0607_N02,30273,8228
BC0608_N01,20913,8074
BC0611_N02,36629,9804
BC0612_N01,20572,7874
BC0613_N03,49607,9925
BC0615_N02,33202,8571
BC0616_N02,33558,8741
BC0617_N01,20377,7967
BC0618_N01,20438,7884
BC0619_N01,19310,7716
BC0622_N02,36963,9367
BC0623_N02,27820,7889
BC0624_N02,33292,8493
BC0625_N01,21314,8120
BC0626_N01,19258,7527
BC0628_N01,20069,7819
BC0629_N01,21203,7949
BC0630_N03,52751,9592
BC0631_N01,20073,7856
BC0632_N02,33219,8574
BC0633_N01,20672,7656
BC0634_N01,20401,7593
BC0635_N01,20873,7741
BC0637_N01,19869,7575
BC0638_N01,20811,7770
BC0640_N02,36914,9083
BC0641_N02,35760,9375
BC0642_N02,37197,8930
BC0644_N02,39634,9274
BC0645_N01,18275,7241
BC0647_N03,41455,8222
BC0648_N02,39509,9434
BC0653_N03,43214,8790
BC0654_N01,18100,7176
BC0655_N01,17816,6941
BC0656_N02,29371,8103
BC0658_N02,34183,8825
BC0659_N01,18208,7113
BC0660_N02,26256,7949
BC0661_N01,16133,6598
BC0662_N03,46090,8915
BC0665_N01,18012,6951
BC0666_N02,32000,8265
