,nCounts,nFeatures
BC01191_N03,6350,2313
BC01189_N05,6440,2564
BC00866_N09,4749,2026
BC01186_N01,2019,1155
BC01184_N03,6067,2367
BC00222_N04,6533,2444
BC01180_N02,1456,970
BC01178_N02,4989,2071
BC00534_N07,5512,2291
BC02721_N02,2059,1243
BC01708_N04,6370,2529
BC01175_N02,2748,1406
BC01092_N03,1967,1116
BC01172_N03,2736,1436
BC00103_N05,8209,3163
BC02125_N03,3698,1753
BC01171_N07,3974,1846
BC02138_N04,3935,1887
BC00122_N04,4777,2182
BC01028_N02,2753,1546
BC02023_N03,2813,1426
BC00361_N03,7477,2676
BC03512_N01,2393,1395
BC01169_N04,6371,2525
BC03164_N02,2429,1325
BC01768_N04,8842,2805
BC01167_N02,4435,1997
BC01378_N01,3288,1570
BC00737_N03,6707,2416
BC02170_N02,1992,1151
BC01166_N04,6024,2558
BC02174_N03,2909,1536
BC00040_N06,7677,2739
BC01400_N05,5150,2299
BC00493_N05,9833,3282
BC01165_N01,543,358
BC00386_N02,4340,2027
BC01281_N02,5548,2268
BC01162_N03,5035,2319
BC01160_N03,4627,2067
BC01412_N02,2255,1255
BC00889_N05,7787,2779
BC00639_N01,1172,795
BC01280_N01,4403,1890
BC01156_N02,3686,1819
BC01457_N01,1340,870
BC01155_N05,2759,1445
BC01154_N02,1888,1098
BC00950_N02,4664,2048
BC02242_N05,3133,1614
BC02533_N05,1599,1034
BC01290_N05,1819,1012
BC02137_N03,3446,1662
BC01308_N01,1995,1101
BC01147_N03,3701,1780
BC01424_N01,1550,962
BC01099_N02,2990,1598
BC00233_N04,6678,2704
BC03250_N01,439,315
BC01140_N02,1580,937
BC01015_N03,4448,2029
BC01277_N05,7113,2620
BC00035_N04,12777,3878
BC01131_N03,5248,2105
BC02129_N03,2773,1485
BC01403_N04,4336,1960
BC00989_N03,6677,2755
BC01772_N04,2352,1225
BC02266_N01,243,198
BC01122_N02,1737,1069
BC01509_N05,1883,1017
BC02407_N04,3309,1659
BC01119_N02,3770,2027
BC02189_N04,1347,872
BC01116_N06,3917,1755
BC02390_N02,2995,1187
BC00601_N02,5659,2224
BC01113_N04,4201,1858
BC01112_N04,5946,2596
BC01505_N01,3067,1415
BC03613_N02,1430,884
BC02284_N03,3065,1598
BC01108_N02,5292,2260
BC02251_N04,5143,2201
BC01106_N01,305,240
BC01153_N09,9982,3027
BC00690_N03,9436,3202
BC01104_N05,4723,2069
BC00327_N03,4878,2059
BC02689_N06,5568,2326
BC01916_N02,1604,1037
BC00525_N01,555,421
BC01101_N03,2885,1489
BC01100_N04,4451,1981
BC00009_N01,2333,1792
BC00721_N02,2275,1244
BC01125_N01,2927,1349
BC01086_N04,2951,1537
BC01286_N01,4459,1979
BC03125_N02,977,643
BC01078_N06,6940,2633
BC01083_N02,3328,1656
BC01548_N01,2720,1500
BC01080_N02,1905,1110
BC02631_N03,2889,1439
BC01159_N04,1697,1094
BC01079_N04,4913,2072
BC02269_N03,1702,962
BC01388_N03,2454,1275
BC00342_N03,6993,2832
BC01010_N04,5057,2122
BC00718_N02,5225,2189
BC01077_N03,5919,2174
BC02580_N03,3643,1827
BC01075_N04,3345,1713
BC01880_N02,438,348
BC01073_N03,3647,1656
BC00986_N03,3828,1787
BC01072_N02,5522,2384
BC00925_N04,4976,2086
BC03323_N01,194,166
BC00738_N04,3084,1461
BC01069_N02,3708,1836
BC00132_N03,3357,1642
BC01590_N04,3138,1528
