,nCounts,nFeatures
BC03389_N04,3866,2215
BC03388_N05,4505,2193
BC03386_N02,828,634
BC03385_N03,2020,1300
BC03384_N01,126,100
BC03383_N02,3241,1836
BC03382_N02,2083,1234
BC03381_N01,1967,1253
BC03380_N01,1072,758
BC03379_N03,1768,1113
BC03852_N04,3194,1742
BC03378_N01,649,546
BC03924_N01,1377,1007
BC03376_N02,900,673
BC03375_N02,2444,1461
BC03374_N03,3070,1748
BC03372_N02,2299,1539
BC03371_N01,1537,1004
BC03766_N03,1490,1037
BC03367_N03,2068,1273
BC03365_N02,2684,1470
BC03363_N03,3080,1781
BC03362_N03,3105,1799
BC03358_N02,957,722
BC03357_N03,2747,1754
BC03356_N05,4382,2162
BC03354_N03,1650,1164
BC03828_N01,2025,1156
BC03352_N04,2544,1519
BC03351_N03,3177,1646
BC03348_N05,2496,1528
BC03347_N03,2201,1369
BC03346_N02,1359,903
BC03344_N02,2396,1692
BC03342_N04,2466,1635
BC03337_N02,1013,745
BC03336_N02,2853,1717
BC03335_N04,4964,2293
BC03334_N01,913,767
BC03333_N04,4078,2268
BC03582_N01,947,694
BC03332_N03,1845,1100
BC03971_N01,1806,1178
BC03330_N02,1621,1035
BC03327_N04,2732,1575
BC03325_N03,5341,2860
BC03324_N05,1859,1175
BC03322_N02,2266,1457
BC03320_N04,3445,2017
BC03319_N05,4084,2051
BC03318_N03,1922,1228
BC03317_N02,2195,1394
BC03315_N03,3298,1688
BC03310_N03,3099,1833
BC03309_N01,1228,878
BC03308_N03,2202,1323
BC03307_N01,688,537
BC03306_N04,2272,1470
BC03305_N02,1678,1072
BC03304_N02,4605,2334
BC03302_N01,1143,867
BC03299_N02,2877,1695
BC03296_N02,2426,1417
BC03295_N02,3317,1838
BC03294_N02,3023,1797
BC03289_N03,2569,1520
BC03285_N04,371,323
BC03284_N03,1721,1099
BC03283_N03,3690,2243
BC03691_N03,2582,1364
BC03282_N01,2169,1318
BC03279_N05,1933,1129
BC03278_N03,2004,1363
BC03277_N04,2499,1641
BC03270_N04,2197,1383
BC03853_N03,4295,2233
BC03267_N01,890,690
BC03265_N02,1724,1196
BC03263_N03,1166,836
BC03262_N04,2289,1497
BC03261_N02,2262,1445
BC03259_N03,2840,1630
BC03257_N03,9061,3576
BC03256_N05,3417,1617
BC03255_N02,2937,1786
BC03253_N03,1988,1265
BC03248_N01,1376,950
BC03247_N02,989,693
BC03246_N03,3171,1913
BC03244_N03,3335,1816
BC03243_N01,2673,1555
BC03242_N05,2596,1518
BC03240_N04,2491,1471
BC03235_N05,5371,2523
BC03234_N06,2671,1627
BC03233_N03,3694,1954
BC03232_N03,2561,1461
BC03231_N04,828,658
BC03230_N04,3483,2096
BC03887_N02,2404,1515
BC03229_N03,3186,1731
BC03228_N03,3566,2071
BC03226_N04,2174,1348
BC03224_N03,2322,1557
BC04056_N03,2072,1359
BC03221_N03,2546,1497
BC03219_N05,4216,2189
BC03217_N02,286,243
BC03216_N03,6276,2940
BC03215_N01,415,346
BC03214_N03,1382,936
BC03211_N01,1777,1204
BC03210_N03,3801,2050
BC03209_N03,4423,2423
BC03208_N03,3550,1841
BC03207_N02,2500,1457
BC03206_N01,1105,723
BC03203_N05,2235,1325
BC03202_N02,4273,2289
BC03201_N01,635,536
BC03200_N04,4557,2291
BC03199_N05,4572,2189
BC03193_N01,1501,940
BC03192_N02,930,694
BC03191_N02,2607,1625
BC03190_N02,1736,1201
BC03188_N04,2840,1709
BC03186_N05,1849,1175
BC03185_N03,4229,2146
BC03184_N02,4186,2139
BC03182_N02,4438,2261
BC03179_N02,4987,2501
BC03176_N02,1608,1156
BC03174_N03,2323,1307
BC03471_N03,3991,2032
BC03170_N01,1431,958
BC03169_N05,3265,1756
BC03168_N06,4102,2058
BC03165_N03,2230,1455
BC03759_N03,1129,794
BC03163_N01,1665,1120
BC03160_N03,3317,1735
BC03159_N03,1181,869
BC03158_N01,922,682
BC03155_N01,1534,1115
BC03154_N03,2064,1300
BC03152_N02,3150,1651
BC03151_N02,1685,1063
BC03150_N05,3096,1740
BC03147_N04,2154,1499
BC03743_N03,2588,1486
BC03145_N02,3945,2044
BC03143_N01,1075,801
BC03142_N04,3352,1789
BC03141_N02,2854,1725
BC03138_N03,4720,2469
BC03136_N01,1911,1184
BC03134_N05,2883,1597
BC03133_N04,1698,1125
BC03132_N02,1405,922
BC03131_N02,1554,919
BC03130_N03,1365,988
BC03128_N01,2191,1338
BC03126_N03,2809,1632
BC03124_N03,4305,2217
BC03123_N02,1372,876
BC03122_N02,618,480
BC03121_N04,5958,2872
BC03119_N01,1701,1229
BC03118_N01,2410,1450
BC03117_N03,2106,1277
BC03116_N02,2692,1672
BC03114_N02,1568,1094
BC03113_N02,1688,1052
BC03112_N05,2633,1506
BC03110_N02,2820,1650
BC03109_N01,2037,1311
BC03108_N03,1636,1101
BC03107_N01,779,603
BC03106_N07,2861,1532
BC03105_N03,666,541
BC03104_N01,1729,1186
BC03102_N02,4226,1979
BC03204_N04,4624,2381
BC03099_N01,2361,1394
BC03098_N02,2523,1377
BC03097_N01,2005,1261
BC03095_N01,1930,1315
BC03871_N01,478,403
BC03091_N01,661,524
BC03090_N03,1879,1115
BC03084_N01,3964,2365
BC03082_N04,3670,2014
BC03081_N02,2985,1623
BC03080_N03,1231,861
BC03078_N05,2499,1501
BC03077_N06,4252,2186
BC03075_N03,3595,1885
BC03074_N04,2754,1580
BC03073_N03,3980,2078
BC03072_N05,3734,1874
BC03070_N02,847,593
BC03069_N03,3127,1662
BC03067_N06,4793,2211
BC03065_N02,1520,1030
BC03064_N03,2753,1770
BC03063_N01,1245,888
BC03062_N03,1548,1028
BC03060_N01,1242,897
BC03059_N05,4542,2235
BC03058_N03,2213,1395
BC03056_N07,2701,1599
BC03055_N02,3537,1861
BC03054_N04,6618,3134
BC03053_N03,2298,1345
BC03052_N05,9299,3768
BC03051_N01,1022,794
BC03047_N03,3763,2072
BC03046_N02,4311,2192
BC03045_N03,2136,1262
BC03044_N03,4306,2048
BC03813_N01,750,573
BC03037_N01,441,364
BC03036_N04,4529,2286
BC03035_N03,1492,1058
BC03032_N01,722,523
BC03031_N03,5057,2466
BC03030_N01,2381,1597
BC03026_N03,1608,1075
BC03023_N03,1378,939
BC03022_N02,3147,1998
BC03020_N01,1711,1075
BC03018_N01,1369,1034
BC03017_N04,4193,2411
