,nCounts,nFeatures
BC1468_N02,11613,3698
BC1469_N02,10926,3431
BC1470_N03,14092,3584
BC1471_N02,13368,4019
BC1473_N02,15787,4427
BC1474_N01,9635,3929
BC1475_N03,18259,4263
BC1477_N04,17447,4076
BC1481_N01,8264,3525
BC1486_N01,9710,4031
BC1488_N02,11571,3607
BC1492_N02,16657,4748
BC1497_N01,9762,3851
BC1498_N03,22574,5193
BC1503_N01,9361,3755
BC1504_N01,9290,3805
BC1507_N02,12121,4009
BC1508_N02,14301,4003
BC1509_N01,6505,2785
BC1511_N01,10500,4154
BC1512_N02,13925,4325
BC1514_N03,18796,4377
BC1519_N02,15468,4403
BC1522_N01,9231,3703
BC1525_N01,9154,3810
BC1526_N03,15373,3921
BC1528_N02,17143,4649
BC1529_N01,8592,3470
BC1533_N02,12309,3532
BC1534_N01,7440,3158
BC1535_N01,9260,3810
BC1536_N02,16072,4464
BC1537_N02,16657,4543
BC1540_N02,12953,4050
BC1542_N01,9998,3915
BC1545_N02,16243,4574
BC1546_N01,9356,3855
BC1548_N02,15077,4145
BC1551_N01,9128,3768
BC1561_N02,17975,5108
BC1564_N03,20787,4816
BC1567_N01,9308,3922
BC1570_N02,16330,4485
BC1572_N02,14723,4599
BC1573_N01,9659,3819
BC1576_N01,9346,3783
BC1578_N01,8497,3389
BC1580_N03,21936,4986
BC1581_N02,11865,3956
BC1582_N01,7312,3123
BC1584_N03,18831,4322
BC1586_N02,13770,4165
BC1589_N02,6683,2233
BC1590_N01,9868,4013
BC1592_N02,17436,5046
BC1593_N03,23013,4572
BC1594_N01,8136,3427
BC1601_N02,15319,4200
BC1602_N01,8974,3735
BC1603_N01,9191,3793
BC1604_N01,8941,3581
BC1606_N02,14798,4158
BC1607_N01,8910,3644
BC1608_N01,6911,3103
BC1611_N03,23902,5241
BC1613_N01,8654,3619
BC1614_N02,17947,4732
BC1621_N02,16757,4754
BC1625_N02,15253,4221
BC1626_N03,19697,4293
BC1627_N01,8533,3449
BC1631_N01,8868,3682
BC1634_N02,12689,3763
BC1635_N01,8739,3732
BC1637_N03,14263,3732
BC1639_N01,9251,3722
BC1640_N02,13092,3998
BC1641_N01,8655,3625
BC1643_N02,15728,4174
BC1645_N03,21529,5201
BC1647_N01,10069,4133
BC1648_N02,15474,4105
BC1649_N01,8154,3531
BC1650_N01,7865,3413
BC1654_N01,7762,3370
BC1656_N02,16016,4283
BC1657_N01,8656,3521
BC1659_N01,4911,2285
BC1660_N01,11083,4209
BC1661_N01,7066,3076
BC1662_N02,15204,4280
BC1664_N01,8826,3550
BC1665_N01,9471,3902
BC1666_N01,8687,3451
BC1668_N03,22490,5010
BC1670_N03,20766,4739
BC1674_N01,8059,3335
BC1678_N02,8003,3145
BC1679_N01,8518,3678
BC1680_N02,12116,4187
BC1681_N01,9326,3746
BC1682_N01,7929,3382
BC1685_N01,8222,3424
BC1686_N01,8161,3453
BC1687_N01,7146,3141
BC1693_N01,9107,3737
BC1694_N02,12033,3813
BC1695_N01,6709,2990
BC1697_N02,13679,3522
BC1699_N01,7820,3278
BC1702_N01,8935,3650
BC1704_N01,8560,3639
BC1705_N01,9958,3888
BC1708_N01,7192,2949
BC1711_N01,8239,3417
BC1714_N02,14231,3840
BC1716_N01,7329,3144
BC1717_N01,8651,3559
BC1718_N01,9456,3799
BC1720_N01,7281,3112
BC1721_N02,14377,4110
BC1725_N04,23273,4785
BC1726_N01,8583,3502
BC1727_N03,20552,4439
BC1728_N01,6435,2608
BC1729_N01,5427,2410
BC1730_N01,8680,3503
BC1732_N02,10061,3198
BC1736_N01,8235,3540
BC1737_N01,7912,3361
BC1742_N01,8080,3433
BC1743_N02,15930,4160
BC1745_N01,8395,3547
BC1747_N03,20130,5008
BC1748_N01,7416,3217
BC1749_N01,7796,3296
BC1751_N01,7853,3266
BC1752_N01,8729,3432
BC1753_N02,13392,3837
BC1754_N02,15084,4203
BC1755_N01,9261,3690
BC1757_N02,14103,3932
BC1760_N01,6837,2973
BC1768_N03,21204,4560
BC1771_N01,6310,2747
BC1772_N01,7672,3317
BC1774_N02,10605,3510
BC1775_N01,6741,2734
BC1778_N03,16790,4225
BC1779_N01,6828,3002
BC1780_N01,8744,3590
BC1781_N02,11597,3862
BC1782_N02,13724,4033
BC1783_N02,15037,4273
BC1784_N02,14897,4197
BC1786_N02,16701,4371
BC1787_N04,28028,5158
BC1788_N01,5815,2544
BC1793_N01,7503,3215
BC1794_N01,7312,3111
BC1796_N03,17681,4103
BC1798_N01,7734,3280
BC1802_N01,7832,3375
BC1806_N01,7773,3303
BC1809_N01,7691,3263
BC1810_N01,7642,3257
BC1814_N01,7512,3244
BC1816_N01,7646,3250
BC1818_N02,14251,4244
BC1819_N02,16587,4732
BC1823_N03,16786,4123
BC1825_N01,8263,3466
BC1826_N01,8237,3257
BC1827_N02,11629,3648
BC1829_N01,8011,3326
BC1831_N02,14158,4243
BC1837_N02,12244,3680
BC1838_N01,7075,3096
BC1840_N01,7700,3319
BC1841_N02,12154,3534
BC1842_N01,7835,3236
BC1843_N01,7679,3229
BC1853_N02,12890,4006
BC1855_N04,22214,4626
BC1857_N01,7603,3179
BC1858_N01,7177,3148
BC1859_N01,10443,4129
BC1860_N01,7728,3043
BC1866_N02,14303,3859
